REGION,TECHNOLOGY,YEAR,VALUE
REGION,GHBACKSTOP,2015,99999.0
REGION,GHBACKSTOP,2016,99999.0
REGION,GHBACKSTOP,2017,99999.0
REGION,GHBACKSTOP,2018,99999.0
REGION,GHBACKSTOP,2019,99999.0
REGION,GHBACKSTOP,2020,99999.0
REGION,GHBACKSTOP,2021,99999.0
REGION,GHBACKSTOP,2022,99999.0
REGION,GHBACKSTOP,2023,99999.0
REGION,GHBACKSTOP,2024,99999.0
REGION,GHBACKSTOP,2025,99999.0
REGION,GHBACKSTOP,2026,99999.0
REGION,GHBACKSTOP,2027,99999.0
REGION,GHBACKSTOP,2028,99999.0
REGION,GHBACKSTOP,2029,99999.0
REGION,GHBACKSTOP,2030,99999.0
REGION,GHBACKSTOP,2031,99999.0
REGION,GHBACKSTOP,2032,99999.0
REGION,GHBACKSTOP,2033,99999.0
REGION,GHBACKSTOP,2034,99999.0
REGION,GHBACKSTOP,2035,99999.0
REGION,GHBACKSTOP,2036,99999.0
REGION,GHBACKSTOP,2037,99999.0
REGION,GHBACKSTOP,2038,99999.0
REGION,GHBACKSTOP,2039,99999.0
REGION,GHBACKSTOP,2040,99999.0
REGION,GHBACKSTOP,2041,99999.0
REGION,GHBACKSTOP,2042,99999.0
REGION,GHBACKSTOP,2043,99999.0
REGION,GHBACKSTOP,2044,99999.0
REGION,GHBACKSTOP,2045,99999.0
REGION,GHBACKSTOP,2046,99999.0
REGION,GHBACKSTOP,2047,99999.0
REGION,GHBACKSTOP,2048,99999.0
REGION,GHBACKSTOP,2049,99999.0
REGION,GHBACKSTOP,2050,99999.0
REGION,GHBACKSTOP,2051,99999.0
REGION,GHBACKSTOP,2052,99999.0
REGION,GHBACKSTOP,2053,99999.0
REGION,GHBACKSTOP,2054,99999.0
REGION,GHBACKSTOP,2055,99999.0
REGION,GHBACKSTOP,2056,99999.0
REGION,GHBACKSTOP,2057,99999.0
REGION,GHBACKSTOP,2058,99999.0
REGION,GHBACKSTOP,2059,99999.0
REGION,GHBACKSTOP,2060,99999.0
REGION,GHBACKSTOP,2061,99999.0
REGION,GHBACKSTOP,2062,99999.0
REGION,GHBACKSTOP,2063,99999.0
REGION,GHBACKSTOP,2064,99999.0
REGION,GHBACKSTOP,2065,99999.0
REGION,GHBACKSTOP,2066,99999.0
REGION,GHBACKSTOP,2067,99999.0
REGION,GHBACKSTOP,2068,99999.0
REGION,GHBACKSTOP,2069,99999.0
REGION,GHBACKSTOP,2070,99999.0
REGION,GHCRUDPROX,2015,24.12681997013569
REGION,GHCRUDPROX,2016,24.12681997013569
REGION,GHCRUDPROX,2017,24.12681997013569
REGION,GHCRUDPROX,2018,24.12681997013569
REGION,GHCRUDPROX,2019,24.12681997013569
REGION,GHCRUDPROX,2020,24.12681997013569
REGION,GHCRUDPROX,2021,24.12681997013569
REGION,GHCRUDPROX,2022,24.12681997013569
REGION,GHCRUDPROX,2023,24.12681997013569
REGION,GHCRUDPROX,2024,24.12681997013569
REGION,GHCRUDPROX,2025,24.12681997013569
REGION,GHCRUDPROX,2026,24.12681997013569
REGION,GHCRUDPROX,2027,24.12681997013569
REGION,GHCRUDPROX,2028,24.12681997013569
REGION,GHCRUDPROX,2029,24.12681997013569
REGION,GHCRUDPROX,2030,24.12681997013569
REGION,GHCRUDPROX,2031,24.12681997013569
REGION,GHCRUDPROX,2032,24.12681997013569
REGION,GHCRUDPROX,2033,24.12681997013569
REGION,GHCRUDPROX,2034,24.12681997013569
REGION,GHCRUDPROX,2035,24.12681997013569
REGION,GHCRUDPROX,2036,24.12681997013569
REGION,GHCRUDPROX,2037,24.12681997013569
REGION,GHCRUDPROX,2038,24.12681997013569
REGION,GHCRUDPROX,2039,24.12681997013569
REGION,GHCRUDPROX,2040,24.12681997013569
REGION,GHCRUDPROX,2041,24.12681997013569
REGION,GHCRUDPROX,2042,24.12681997013569
REGION,GHCRUDPROX,2043,24.12681997013569
REGION,GHCRUDPROX,2044,24.12681997013569
REGION,GHCRUDPROX,2045,24.12681997013569
REGION,GHCRUDPROX,2046,24.12681997013569
REGION,GHCRUDPROX,2047,24.12681997013569
REGION,GHCRUDPROX,2048,24.12681997013569
REGION,GHCRUDPROX,2049,24.12681997013569
REGION,GHCRUDPROX,2050,24.12681997013569
REGION,GHCRUDPROX,2051,24.12681997013569
REGION,GHCRUDPROX,2052,24.12681997013569
REGION,GHCRUDPROX,2053,24.12681997013569
REGION,GHCRUDPROX,2054,24.12681997013569
REGION,GHCRUDPROX,2055,24.12681997013569
REGION,GHCRUDPROX,2056,24.12681997013569
REGION,GHCRUDPROX,2057,24.12681997013569
REGION,GHCRUDPROX,2058,24.12681997013569
REGION,GHCRUDPROX,2059,24.12681997013569
REGION,GHCRUDPROX,2060,24.12681997013569
REGION,GHCRUDPROX,2061,24.12681997013569
REGION,GHCRUDPROX,2062,24.12681997013569
REGION,GHCRUDPROX,2063,24.12681997013569
REGION,GHCRUDPROX,2064,24.12681997013569
REGION,GHCRUDPROX,2065,24.12681997013569
REGION,GHCRUDPROX,2066,24.12681997013569
REGION,GHCRUDPROX,2067,24.12681997013569
REGION,GHCRUDPROX,2068,24.12681997013569
REGION,GHCRUDPROX,2069,24.12681997013569
REGION,GHCRUDPROX,2070,24.12681997013569
REGION,GHNG00ILGX,2015,0.855
REGION,GHNG00ILGX,2016,0.855
REGION,GHNG00ILGX,2017,0.855
REGION,GHNG00ILGX,2018,0.855
REGION,GHNG00ILGX,2019,0.855
REGION,GHNG00ILGX,2020,0.855
REGION,GHNG00ILGX,2021,0.855
REGION,GHNG00ILGX,2022,0.855
REGION,GHNG00ILGX,2023,0.855
REGION,GHNG00ILGX,2024,0.855
REGION,GHNG00ILGX,2025,0.855
REGION,GHNG00ILGX,2026,0.855
REGION,GHNG00ILGX,2027,0.855
REGION,GHNG00ILGX,2028,0.855
REGION,GHNG00ILGX,2029,0.855
REGION,GHNG00ILGX,2030,0.855
REGION,GHNG00ILGX,2031,0.855
REGION,GHNG00ILGX,2032,0.855
REGION,GHNG00ILGX,2033,0.855
REGION,GHNG00ILGX,2034,0.855
REGION,GHNG00ILGX,2035,0.855
REGION,GHNG00ILGX,2036,0.855
REGION,GHNG00ILGX,2037,0.855
REGION,GHNG00ILGX,2038,0.855
REGION,GHNG00ILGX,2039,0.855
REGION,GHNG00ILGX,2040,0.855
REGION,GHNG00ILGX,2041,0.855
REGION,GHNG00ILGX,2042,0.855
REGION,GHNG00ILGX,2043,0.855
REGION,GHNG00ILGX,2044,0.855
REGION,GHNG00ILGX,2045,0.855
REGION,GHNG00ILGX,2046,0.855
REGION,GHNG00ILGX,2047,0.855
REGION,GHNG00ILGX,2048,0.855
REGION,GHNG00ILGX,2049,0.855
REGION,GHNG00ILGX,2050,0.855
REGION,GHNG00ILGX,2051,0.855
REGION,GHNG00ILGX,2052,0.855
REGION,GHNG00ILGX,2053,0.855
REGION,GHNG00ILGX,2054,0.855
REGION,GHNG00ILGX,2055,0.855
REGION,GHNG00ILGX,2056,0.855
REGION,GHNG00ILGX,2057,0.855
REGION,GHNG00ILGX,2058,0.855
REGION,GHNG00ILGX,2059,0.855
REGION,GHNG00ILGX,2060,0.855
REGION,GHNG00ILGX,2061,0.855
REGION,GHNG00ILGX,2062,0.855
REGION,GHNG00ILGX,2063,0.855
REGION,GHNG00ILGX,2064,0.855
REGION,GHNG00ILGX,2065,0.855
REGION,GHNG00ILGX,2066,0.855
REGION,GHNG00ILGX,2067,0.855
REGION,GHNG00ILGX,2068,0.855
REGION,GHNG00ILGX,2069,0.855
REGION,GHNG00ILGX,2070,0.855
REGION,GHNG00ELGX,2015,1.52
REGION,GHNG00ELGX,2016,1.52
REGION,GHNG00ELGX,2017,1.52
REGION,GHNG00ELGX,2018,1.52
REGION,GHNG00ELGX,2019,1.52
REGION,GHNG00ELGX,2020,1.52
REGION,GHNG00ELGX,2021,1.52
REGION,GHNG00ELGX,2022,1.52
REGION,GHNG00ELGX,2023,1.52
REGION,GHNG00ELGX,2024,1.52
REGION,GHNG00ELGX,2025,1.52
REGION,GHNG00ELGX,2026,1.52
REGION,GHNG00ELGX,2027,1.52
REGION,GHNG00ELGX,2028,1.52
REGION,GHNG00ELGX,2029,1.52
REGION,GHNG00ELGX,2030,1.52
REGION,GHNG00ELGX,2031,1.52
REGION,GHNG00ELGX,2032,1.52
REGION,GHNG00ELGX,2033,1.52
REGION,GHNG00ELGX,2034,1.52
REGION,GHNG00ELGX,2035,1.52
REGION,GHNG00ELGX,2036,1.52
REGION,GHNG00ELGX,2037,1.52
REGION,GHNG00ELGX,2038,1.52
