REGION,TECHNOLOGY,YEAR,VALUE
REGION,GHCRUDPROX,2015,100.504575
REGION,GHCRUDPROX,2016,100.504575
REGION,GHCRUDPROX,2017,100.504575
REGION,GHCRUDPROX,2018,100.504575
REGION,GHCRUDPROX,2019,100.504575
REGION,GHCRUDPROX,2020,100.504575
REGION,GHCRUDPROX,2021,100.504575
REGION,GHCRUDPROX,2022,100.504575
REGION,GHCRUDPROX,2023,100.504575
REGION,GHCRUDPROX,2024,100.504575
REGION,GHCRUDPROX,2025,90.4541175
REGION,GHCRUDPROX,2026,80.40366
REGION,GHCRUDPROX,2027,70.35320250000001
REGION,GHCRUDPROX,2028,60.30274500000001
REGION,GHCRUDPROX,2029,50.25228750000001
REGION,GHCRUDPROX,2030,40.20183000000001
REGION,GHCRUDPROX,2031,30.15137250000001
REGION,GHCRUDPROX,2032,20.10091500000001
REGION,GHCRUDPROX,2033,10.05045750000001
REGION,GHCRUDPROX,2034,0.0
REGION,GHCRUDPROX,2035,0.0
REGION,GHCRUDPROX,2036,0.0
REGION,GHCRUDPROX,2037,0.0
REGION,GHCRUDPROX,2038,0.0
REGION,GHCRUDPROX,2039,0.0
REGION,GHCRUDPROX,2040,0.0
REGION,GHCRUDPROX,2041,0.0
REGION,GHCRUDPROX,2042,0.0
REGION,GHCRUDPROX,2043,0.0
REGION,GHCRUDPROX,2044,0.0
REGION,GHCRUDPROX,2045,0.0
REGION,GHCRUDPROX,2046,0.0
REGION,GHCRUDPROX,2047,0.0
REGION,GHCRUDPROX,2048,0.0
REGION,GHCRUDPROX,2049,0.0
REGION,GHCRUDPROX,2050,0.0
REGION,GHCRUDPROX,2051,0.0
REGION,GHCRUDPROX,2052,0.0
REGION,GHCRUDPROX,2053,0.0
REGION,GHCRUDPROX,2054,0.0
REGION,GHCRUDPROX,2055,0.0
REGION,GHCRUDPROX,2056,0.0
REGION,GHCRUDPROX,2057,0.0
REGION,GHCRUDPROX,2058,0.0
REGION,GHCRUDPROX,2059,0.0
REGION,GHCRUDPROX,2060,0.0
REGION,GHCRUDPROX,2061,0.0
REGION,GHCRUDPROX,2062,0.0
REGION,GHCRUDPROX,2063,0.0
REGION,GHCRUDPROX,2064,0.0
REGION,GHCRUDPROX,2065,0.0
REGION,GHCRUDPROX,2066,0.0
REGION,GHCRUDPROX,2067,0.0
REGION,GHCRUDPROX,2068,0.0
REGION,GHCRUDPROX,2069,0.0
REGION,GHCRUDPROX,2070,0.0
REGION,GHCRUDRE1X,2015,0.0
REGION,GHCRUDRE1X,2016,0.0
REGION,GHCRUDRE1X,2017,0.0
REGION,GHCRUDRE1X,2018,0.0
REGION,GHCRUDRE1X,2019,0.0
REGION,GHCRUDRE1X,2020,0.0
REGION,GHCRUDRE1X,2021,0.0
REGION,GHCRUDRE1X,2022,0.0
REGION,GHCRUDRE1X,2023,0.0
REGION,GHCRUDRE1X,2024,0.0
REGION,GHCRUDRE1X,2025,0.0
REGION,GHCRUDRE1X,2026,0.0
REGION,GHCRUDRE1X,2027,0.0
REGION,GHCRUDRE1X,2028,0.0
REGION,GHCRUDRE1X,2029,0.0
REGION,GHCRUDRE1X,2030,0.0
REGION,GHCRUDRE1X,2031,0.0
REGION,GHCRUDRE1X,2032,0.0
REGION,GHCRUDRE1X,2033,0.0
REGION,GHCRUDRE1X,2034,0.0
REGION,GHCRUDRE1X,2035,0.0
REGION,GHCRUDRE1X,2036,0.0
REGION,GHCRUDRE1X,2037,0.0
REGION,GHCRUDRE1X,2038,0.0
REGION,GHCRUDRE1X,2039,0.0
REGION,GHCRUDRE1X,2040,0.0
REGION,GHCRUDRE1X,2041,0.0
REGION,GHCRUDRE1X,2042,0.0
REGION,GHCRUDRE1X,2043,0.0
REGION,GHCRUDRE1X,2044,0.0
REGION,GHCRUDRE1X,2045,0.0
REGION,GHCRUDRE1X,2046,0.0
REGION,GHCRUDRE1X,2047,0.0
REGION,GHCRUDRE1X,2048,0.0
REGION,GHCRUDRE1X,2049,0.0
REGION,GHCRUDRE1X,2050,0.0
REGION,GHCRUDRE1X,2051,0.0
REGION,GHCRUDRE1X,2052,0.0
REGION,GHCRUDRE1X,2053,0.0
REGION,GHCRUDRE1X,2054,0.0
REGION,GHCRUDRE1X,2055,0.0
REGION,GHCRUDRE1X,2056,0.0
REGION,GHCRUDRE1X,2057,0.0
REGION,GHCRUDRE1X,2058,0.0
REGION,GHCRUDRE1X,2059,0.0
REGION,GHCRUDRE1X,2060,0.0
REGION,GHCRUDRE1X,2061,0.0
REGION,GHCRUDRE1X,2062,0.0
REGION,GHCRUDRE1X,2063,0.0
REGION,GHCRUDRE1X,2064,0.0
REGION,GHCRUDRE1X,2065,0.0
REGION,GHCRUDRE1X,2066,0.0
REGION,GHCRUDRE1X,2067,0.0
REGION,GHCRUDRE1X,2068,0.0
REGION,GHCRUDRE1X,2069,0.0
REGION,GHCRUDRE1X,2070,0.0
REGION,GHCRUDRE2X,2015,0.0
REGION,GHCRUDRE2X,2016,0.0
REGION,GHCRUDRE2X,2017,0.0
REGION,GHCRUDRE2X,2018,0.0
REGION,GHCRUDRE2X,2019,0.0
REGION,GHCRUDRE2X,2020,0.0
REGION,GHCRUDRE2X,2021,0.0
REGION,GHCRUDRE2X,2022,0.0
REGION,GHCRUDRE2X,2023,0.0
REGION,GHCRUDRE2X,2024,0.0
REGION,GHCRUDRE2X,2025,0.0
REGION,GHCRUDRE2X,2026,0.0
REGION,GHCRUDRE2X,2027,0.0
