REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION,GHEL03,S1D1,2015,0.1116441439089442
REGION,GHEL03,S1D1,2016,0.1116441439089442
REGION,GHEL03,S1D1,2017,0.1116441439089442
REGION,GHEL03,S1D1,2018,0.1116441439089442
REGION,GHEL03,S1D1,2019,0.1116441439089442
REGION,GHEL03,S1D1,2020,0.1116441439089442
REGION,GHEL03,S1D1,2021,0.1116441439089442
REGION,GHEL03,S1D1,2022,0.1116441439089442
REGION,GHEL03,S1D1,2023,0.1116441439089442
REGION,GHEL03,S1D1,2024,0.1116441439089442
REGION,GHEL03,S1D1,2025,0.1116441439089442
REGION,GHEL03,S1D1,2026,0.1116441439089442
REGION,GHEL03,S1D1,2027,0.1116441439089442
REGION,GHEL03,S1D1,2028,0.1116441439089442
REGION,GHEL03,S1D1,2029,0.1116441439089442
REGION,GHEL03,S1D1,2030,0.1116441439089442
REGION,GHEL03,S1D1,2031,0.1116441439089442
REGION,GHEL03,S1D1,2032,0.1116441439089442
REGION,GHEL03,S1D1,2033,0.1116441439089442
REGION,GHEL03,S1D1,2034,0.1116441439089442
REGION,GHEL03,S1D1,2035,0.1116441439089442
REGION,GHEL03,S1D1,2036,0.1116441439089442
REGION,GHEL03,S1D1,2037,0.1116441439089442
REGION,GHEL03,S1D1,2038,0.1116441439089442
REGION,GHEL03,S1D1,2039,0.1116441439089442
REGION,GHEL03,S1D1,2040,0.1116441439089442
REGION,GHEL03,S1D1,2041,0.1116441439089442
REGION,GHEL03,S1D1,2042,0.1116441439089442
REGION,GHEL03,S1D1,2043,0.1116441439089442
REGION,GHEL03,S1D1,2044,0.1116441439089442
REGION,GHEL03,S1D1,2045,0.1116441439089442
REGION,GHEL03,S1D1,2046,0.1116441439089442
REGION,GHEL03,S1D1,2047,0.1116441439089442
REGION,GHEL03,S1D1,2048,0.1116441439089442
REGION,GHEL03,S1D1,2049,0.1116441439089442
REGION,GHEL03,S1D1,2050,0.1116441439089442
REGION,GHEL03,S1D1,2051,0.1116441439089442
REGION,GHEL03,S1D1,2052,0.1116441439089442
REGION,GHEL03,S1D1,2053,0.1116441439089442
REGION,GHEL03,S1D1,2054,0.1116441439089442
REGION,GHEL03,S1D1,2055,0.1116441439089442
REGION,GHEL03,S1D1,2056,0.1116441439089442
REGION,GHEL03,S1D1,2057,0.1116441439089442
REGION,GHEL03,S1D1,2058,0.1116441439089442
REGION,GHEL03,S1D1,2059,0.1116441439089442
REGION,GHEL03,S1D1,2060,0.1116441439089442
REGION,GHEL03,S1D1,2061,0.1116441439089442
REGION,GHEL03,S1D1,2062,0.1116441439089442
REGION,GHEL03,S1D1,2063,0.1116441439089442
REGION,GHEL03,S1D1,2064,0.1116441439089442
REGION,GHEL03,S1D1,2065,0.1116441439089442
