REGION,TECHNOLOGY,YEAR,VALUE
REGION,GHCRUDPROX,2015,0.0
REGION,GHCRUDPROX,2016,0.0
REGION,GHCRUDPROX,2017,0.0
REGION,GHCRUDPROX,2018,0.0
REGION,GHCRUDPROX,2019,0.0
REGION,GHCRUDPROX,2020,0.0
REGION,GHCRUDPROX,2021,0.0
REGION,GHCRUDPROX,2022,0.0
REGION,GHCRUDPROX,2023,0.0
REGION,GHCRUDPROX,2024,0.0
REGION,GHCRUDPROX,2025,999999.0
REGION,GHCRUDPROX,2026,999999.0
REGION,GHCRUDPROX,2027,999999.0
REGION,GHCRUDPROX,2028,999999.0
REGION,GHCRUDPROX,2029,999999.0
REGION,GHCRUDPROX,2030,999999.0
REGION,GHCRUDPROX,2031,999999.0
REGION,GHCRUDPROX,2032,999999.0
REGION,GHCRUDPROX,2033,999999.0
REGION,GHCRUDPROX,2034,999999.0
REGION,GHCRUDPROX,2035,999999.0
REGION,GHCRUDPROX,2036,999999.0
REGION,GHCRUDPROX,2037,999999.0
REGION,GHCRUDPROX,2038,999999.0
REGION,GHCRUDPROX,2039,999999.0
REGION,GHCRUDPROX,2040,999999.0
REGION,GHCRUDPROX,2041,999999.0
REGION,GHCRUDPROX,2042,999999.0
REGION,GHCRUDPROX,2043,999999.0
REGION,GHCRUDPROX,2044,999999.0
REGION,GHCRUDPROX,2045,999999.0
REGION,GHCRUDPROX,2046,999999.0
REGION,GHCRUDPROX,2047,999999.0
REGION,GHCRUDPROX,2048,999999.0
REGION,GHCRUDPROX,2049,999999.0
REGION,GHCRUDPROX,2050,999999.0
REGION,GHCRUDPROX,2051,999999.0
REGION,GHCRUDPROX,2052,999999.0
REGION,GHCRUDPROX,2053,999999.0
REGION,GHCRUDPROX,2054,999999.0
REGION,GHCRUDPROX,2055,999999.0
REGION,GHCRUDPROX,2056,999999.0
REGION,GHCRUDPROX,2057,999999.0
REGION,GHCRUDPROX,2058,999999.0
REGION,GHCRUDPROX,2059,999999.0
REGION,GHCRUDPROX,2060,999999.0
REGION,GHCRUDPROX,2061,999999.0
REGION,GHCRUDPROX,2062,999999.0
REGION,GHCRUDPROX,2063,999999.0
REGION,GHCRUDPROX,2064,999999.0
REGION,GHCRUDPROX,2065,999999.0
REGION,GHCRUDPROX,2066,999999.0
REGION,GHCRUDPROX,2067,999999.0
REGION,GHCRUDPROX,2068,999999.0
REGION,GHCRUDPROX,2069,999999.0
REGION,GHCRUDPROX,2070,999999.0
REGION,GHCRUDRE1X,2015,999999.0
REGION,GHCRUDRE1X,2016,999999.0
REGION,GHCRUDRE1X,2017,999999.0
REGION,GHCRUDRE1X,2018,999999.0
REGION,GHCRUDRE1X,2019,999999.0
REGION,GHCRUDRE1X,2020,999999.0
REGION,GHCRUDRE1X,2021,999999.0
REGION,GHCRUDRE1X,2022,999999.0
REGION,GHCRUDRE1X,2023,999999.0
REGION,GHCRUDRE1X,2024,999999.0
REGION,GHCRUDRE1X,2025,999999.0
REGION,GHCRUDRE1X,2026,999999.0
REGION,GHCRUDRE1X,2027,999999.0
REGION,GHCRUDRE1X,2028,999999.0
REGION,GHCRUDRE1X,2029,999999.0
REGION,GHCRUDRE1X,2030,999999.0
REGION,GHCRUDRE1X,2031,999999.0
REGION,GHCRUDRE1X,2032,999999.0
REGION,GHCRUDRE1X,2033,999999.0
REGION,GHCRUDRE1X,2034,999999.0
REGION,GHCRUDRE1X,2035,999999.0
REGION,GHCRUDRE1X,2036,999999.0
REGION,GHCRUDRE1X,2037,999999.0
REGION,GHCRUDRE1X,2038,999999.0
REGION,GHCRUDRE1X,2039,999999.0
REGION,GHCRUDRE1X,2040,999999.0
REGION,GHCRUDRE1X,2041,999999.0
REGION,GHCRUDRE1X,2042,999999.0
REGION,GHCRUDRE1X,2043,999999.0
REGION,GHCRUDRE1X,2044,999999.0
REGION,GHCRUDRE1X,2045,999999.0
REGION,GHCRUDRE1X,2046,999999.0
REGION,GHCRUDRE1X,2047,999999.0
REGION,GHCRUDRE1X,2048,999999.0
REGION,GHCRUDRE1X,2049,999999.0
REGION,GHCRUDRE1X,2050,999999.0
REGION,GHCRUDRE1X,2051,999999.0
REGION,GHCRUDRE1X,2052,999999.0
REGION,GHCRUDRE1X,2053,999999.0
REGION,GHCRUDRE1X,2054,999999.0
REGION,GHCRUDRE1X,2055,999999.0
REGION,GHCRUDRE1X,2056,999999.0
REGION,GHCRUDRE1X,2057,999999.0
REGION,GHCRUDRE1X,2058,999999.0
REGION,GHCRUDRE1X,2059,999999.0
REGION,GHCRUDRE1X,2060,999999.0
REGION,GHCRUDRE1X,2061,999999.0
REGION,GHCRUDRE1X,2062,999999.0
REGION,GHCRUDRE1X,2063,999999.0
REGION,GHCRUDRE1X,2064,999999.0
REGION,GHCRUDRE1X,2065,999999.0
REGION,GHCRUDRE1X,2066,999999.0
REGION,GHCRUDRE1X,2067,999999.0
REGION,GHCRUDRE1X,2068,999999.0
REGION,GHCRUDRE1X,2069,999999.0
REGION,GHCRUDRE1X,2070,999999.0
REGION,GHCRUDRE2X,2015,999999.0
REGION,GHCRUDRE2X,2016,999999.0
REGION,GHCRUDRE2X,2017,999999.0
REGION,GHCRUDRE2X,2018,999999.0
REGION,GHCRUDRE2X,2019,999999.0
REGION,GHCRUDRE2X,2020,999999.0
REGION,GHCRUDRE2X,2021,999999.0
REGION,GHCRUDRE2X,2022,999999.0
REGION,GHCRUDRE2X,2023,999999.0
REGION,GHCRUDRE2X,2024,999999.0
REGION,GHCRUDRE2X,2025,999999.0
REGION,GHCRUDRE2X,2026,999999.0
REGION,GHCRUDRE2X,2027,999999.0
REGION,GHCRUDRE2X,2028,999999.0
REGION,GHCRUDRE2X,2029,999999.0
REGION,GHCRUDRE2X,2030,999999.0
REGION,GHCRUDRE2X,2031,999999.0
REGION,GHCRUDRE2X,2032,999999.0
REGION,GHCRUDRE2X,2033,999999.0
REGION,GHCRUDRE2X,2034,999999.0
REGION,GHCRUDRE2X,2035,999999.0
REGION,GHCRUDRE2X,2036,999999.0
REGION,GHCRUDRE2X,2037,999999.0
REGION,GHCRUDRE2X,2038,999999.0
